text,emotion
hours later still drunk drive shame letting drink much not peak spirits right,0
stoked spring amazing wild foods nature abundant bless,1
feel watches distance glad away powerful volatility emotional magnitude letting deal problems,1
know not equipped care wanted feel safe,1
feel like attempts vain year yet believe even take time listen,0
typing feel stupid,0
feel wcnc news staff ignored opportunity responsibility educate viewing public,0
woke morning feeling bit jaded,0
annoyingtweeple fun laughing loud hehe,0
feel stay important word reminds feeling get sometimes,1
feeling terrific recently worlds best friends around make feel,1
chose leave previous relationship better life kids feel safe part belongings move us bedroom share home another family two independent renters,1
beaten foreign feeling not entirely unpleasant one,0
actually feeling regretful even started relationship,0
tell projecting feelings onto not say looks morose,0
think feeling little sentimental various reasons,0
would try daily life like idea men sitting reading stories hope get little not feel inhibited slowed think sex enjoying things write might never try,0
feel completely assured life hands ill come alive,1
nervous feel relieved,1
made feel ease assured medical treatment would taking seriously concerns would addressed,1
feel repressed lived singapore years,0
feel hollowness cannot explain dull mix anger sadness took long justice served,0
feel hopeless follow,0
feeling discouraged upset day gone,0
stayed late week feel productive,1
feeling thankful blessings,1
feel like mind blank runs makes much harder,0
know want post outfit individually feel vain ha,0
could not control feelings unpleasant experience,0
remember child feeling honoured see name wedding invitation along parents names,1
gave departing words crowd disappeared backstage back bus not feeling sociable right,1
relaxing fragrances soo latest loves still lavender amp chamomile basic ones trying find flower scents,1
feeling broke already,0
feeling horrible knew something wrong,0
stared clouds thinking saw feelings not pass easily cannot forget claimed vnv nation beloved,1
know feel todays linux oses becoming user friendly,1
feel fine catania feat,1
tomfelton saw pic reminded anna king cuuuute little fella,1
wished help fear feeling getting rejected,0
get feeling every troubled kid worships macabre labeled next columbine nut,0
woke feeling thoroughly rotten friday could not drag bed take anna school,0
back days kia sick feeling helpless loss,0
feeling spend wayyyy much time computer not take enough time reading pathetic considering high school graduate technically time reading neglected junior senior years high school,0
freak feel emotional barely carry simple tasks let alone find job support,0
feel like many better options eleven said shauna westgate works neighborhood lives east williamsburg,1
feel bit abused clap simplification made life suck making suck less,0
feel convinced simply energy,1
tell feel patiently hated,0
beginning feel strongly exercise absolutely vital part health something undertaken expression already healthy body via nutrition,1
not able work not able go collage moment cannot really go due pain feel useless makes restless,0
feel rejected alone automatically go someone something give comfort,0
gripped building dear life feeling sure desperate feelings felt harry love,1
felt confused thinking must something really wicked feel blank even nauseated church buildings,0
not know good word feel like viewed world innocent fun,1
feeling kind smug dress got top said embarrassed walk bad mouthed sewing skills designers,1
ok st ginormous cup coffee monday looking much better,0
feel energetic amp happy everything go life right rel bookmark permalink,1
think feeling already thought smart getting program,1
sick would feel body aching cold,0
went munich germany first time chance see feel considerate amounts snow lots lots white shiny snow well c temperatures,1
feel shitty swear,0
feeling really rotten right,0
feeling extremely blessed warm place call home,1
feel defeated days,0
start feeling like world doomed nothing yan,0
feeling incredibly creative lately,1
slept couch living room last night say entirely feel like ventured house unwelcome guest relegated opposite side house,0
feel selfish choice made beg not let love go away,0
feel gorgeous shower fresh make heels jeans girly top,1
feel pleased lyrics jumped mean something hopefully people,1
madamsalami pmsl poo crap everywhere no love wool stash today though,0
wonder indycar super access nature makes people feel like know staff change feels like lost family member,0
changed mind feel like not nor ever acceptable excuse,1
drifted watching took naps like saturday would wake feeling peaceful,1
guess answers question write anything burning feeling within story feel passionate not satisfied written,1
feel happy,1
often find crawling holidays feeling absolutely drained,0
cry truly awesome way human spirit valiantly struggle odds even feeling devastated still hang come stronger beautiful,0
would feel guilty hanging hurt badly,0
feel tranquil today months,1
feel shitty want stop treatment let nature takes course head know know keep fighting one day cure may found,0
read stuff make energetic decided take one capsule day see makes feel far feel energetic since,1
feeling lethargic sore throat no flu yet not cranky yet,0
feel particularly repressed society spend rather time front computer front oven,0
believe imelda understand feelings one another cannot surpressed ignored ill leave,0
great people apathetic show general concern feel weepy,0
heading work friday,0
hope lil happier birthday feeling satisfied happy could feel happiness,1
feel like going fall apart going start relying much devastated lives take separate paths,0
feel respected past year half somewhere lost vision talking spending time,1
feel ghost knew friendly toward us course different story altogether,1
must admit usually write articles chilling headline feel give little background relatively innocent experience prompted write piece,1
say muscles sore feel beaten,0
ash no secret apple boy considered iphone dark side many times,1
not feeling least bit creative today,1
baby not online yet booooo,0
know feeling lonely feeling sorry today noah great time week climbing mountains riding bike today spent father day dad colorado renaissance festival,0
feel rage people prejudiced stupid also lack cops around,0
feel hopeful excited years ahead cannot believe carrying around much sadness dread,1
feel like ok release little guys name world,1
booo dario let tk get hair cut,0
feel hopeful way felt really long time,1
feel crappy not anything sorts besides clean move furniture not working,0
feel ashamed points shortcomings,0
slept hour even pm felt exhausted tried get realised feeling lethargic,0
feel unloved unnoticed sometimes stares back like wrong,0
fall asleep know feels laughing loud drag hell tonight quite excited,0
love students work feel proud everyone work,1
extremely lonely yet feel no need seek company feel content alone,1
feel though obviously not pleasant,1
feeling rather proud parent right,1
look read blog like cousin ms lim want say feel extremely honoured guys admire much reading blog img src http,1
feel honoured everyone asked responded beautiful material,1
left class feeling like beaten little,0
would feel like ok got,1
feel like pretty sweet day,1
still feel sleep deprived could much worse,0
decided music something keep secret kind protective attitude avoid mockery feeling not belonging not cool enough etc,1
told background understand feel strongly sedona method despite already many valuable tools disposal,1
not sure middle caught not feel low felt like could fun factor water,0
not used feeling dumb,0
active conversations time things enjoy like reading feeling relieved not nagging feeling check news feed continually,1
biomedwiz miss still club know west coast shit,1
feel kind whiney think going talk,0
actually starting feel really stressed situation day took lot weight shoulders,0
might appearance seem fade blackness almost intoxicating experience feel less inhibited,0
bad day not feeling cute,1
tired set aside space bed nights feel less lethargic walk back room berating loudly wee hours morning,0
feeling tragic like marlon brando href http megbeck,0
guess feel charmed,1
feel like top trying come not broke yet,0
feel empty right started atkegar yesterday pm,0
also feel technology isolated us ways,0
pretty good stuff known ignore not bothered wild parties happing one door loud enough feel vibrations chair not unpleasant still,0
feel inadequate company,0
feeling like defective reproductive organs vying,0
feel still make useful,1
feeling better better start reading great blog posts,1
surrounded many people much fun yet feeling heart dull ache wanted break cry right,0
iliveinbetween graduate sunday june th,1
feel disturbed film shows easy slip quite normal completely utterly barking mad,0
feel journeyed two years without beloved,1
remember one occasion telling mom not feel pretty,1
always feel pleased think something,1
feel like considerate thing appear emotionally stable part think not day goes past still not think,1
feel like nobody getting hurt result something like made no harm no foul,0
feel like lived vain,0
wrote song time feeling disillusioned worship scene town live,0
get lightheaded hot feel miserable minutes,0
made right decision retiring haku eva agility continue feel relieved let baggage go,1
must feeling invigorated,1
feeling particularly weepy morning feeling super sad ending chapter,0
feel positive future finally becoming man wanted,1
love cracking wise feeling clever sometimes go far hurt not want damage relationships way,1
feel reassured gets tough drivers forget time rushing whatever else going lives focus safety,1
miss vermont,0
first woke feel terrific appeared feel better got started moving around,1
feel like every person around fake,0
really feel unwelcome house nothing right sucks much,0
end feeling lame,0
dunnoe frens think long feel satisfied worth,1
going say mum seriously clever little girl feel proud must something right,1
know not big deal makes feel unimportant,0
learnt process trust let take feel trusting surrendering greater force provide best deserve,1
went mumbai recently may remember discourses feeling like foreigner city not altogether pleasant feeling,1
feel influenced assured capability totally satisfy two canines daily walks,1
feel clever sometimes Laughing Out Loud,1
also feel like death not emotional href http imagesunplugged,0
even feel content tired content,1
feel holidays little boring,0
come home one tuesday evening feeling crappy starving ate half tuna salad sandwich day,0
stared street feeling blood inside begin cool two men appeared front stoop,1
said feeling tad embarrassed maybe sincere sentimental,0
probably know going like know back hand still feel thrilled know every trip would reveal something new,1
ran alone feeling exhausted sluggish infinitely glad anyway,0
feel life right gpoy johnnydepp jafeelme target blank img src http celebsr,0
drs,0
think definitely feel bit regretful,0
keep pulling knitting desk putting back not good not good minus minutes till release,0
obsessed lists love seeing accomplished end day cannot start feel worthless,0
found motivation right always within soul satisfaction creating something feeling making something special always waiting right spark,1
tell know feel ashamed think would solve lot problems mom dropped dead massive heart attack,0
feel like work post break vain,0
nearing end first day cleanse far already feel effects mostly positive,1
ill back goals year definitely feeling itch get race pregnancy little boring times not want triathlon feel like chore vs something enjoy,0
artythecat oh noes missed,0
yay jumeau bags giveaway instantshift bags pretty maybe belt see,1
particularly like min chakra tuning recording actually feel pleasant sensations moving body listen,1
fail feel rotten usually write,0
always struggled not feeling smart compared family,1
may feel worthless afterwards someone else disrespected body heart,0
feel disheartened disenchanted,0
weary feeling ugly working diligently outside inside order change way perceive strongly believe every woman every person deserves know believe beyond shadow doubt beautiful,0
feel though kumi deprived not working waist solid three minute whine n twerk fest,0
like go sea alone time feel want alone,0
think reflect feel content another little boy,1
feel terrible lady driver though,0
feel damaged left home three years ago less sure ever,0
not entirely sure moment seeing not singing feel something worth supporting,1
honor schoolchildren lost lives due gun violence trying best make sure every child classroom feels respected valued,1
also wondered past could always thought feeling needy times badly,0
feel perverse sense achievement,0
like feeling running stairs two time missed able,0
feeling pretty melancholy,0
honest feel truthful anything affects two us,1
geared xmas feeling festive spirit christmas papers stamps snowflakes glitter table get request wedding card,1
feel utterly useless unwanted,0
no documentation back feel picture damaged picture borrowed sister send georgia,0
feel accepted included academically socially,1
feel like long time homesick sure miss friends family spicy seafood dog job,0
feel angry alone unwanted vexed irritable time,0
feel accepted not others,1
feel rich even holding,1
wonder lot depression low self esteem insecurities people arise basic simple reason not feel valued,1
get bad feeling someone may still friendly certainly try no trust no reliability,1
feeling little playful today,1
feel respected wanted loved safe,1
going back short working stint starting tomorrow feeling bit unhappy,0
feel like ok write might,1
feel privileged witness psl,1
feel like last part july groggy blur seeing heavy doody drugs,0
feel calm started laugh,1
feel positive energized ongoing project handling felt happy,1
feel stupid not realizing going sooner,0
not even feel satisfied,1
feel absolutely nothing divine,1
omgeee hurt like helll finally got back cannot close put ball back,0
wonder ill ever girl entirely free shackles feels pretty enough smart enough special enough walk sunshine time,1
one reader not make feel like awful human recipe favorite bajan cookbook kind enough post,0
feel delighted bring personal medical experiences regarding man,1
feel honored winner look forward guest designer joanna future,1
feel like missed lot growing either working sick,0
feeling really exhausted finals week especially work weekend no time relax,0
feel delighted enthusiasm greeted celebration,1
found coin pocket feeling feeling quite triumphant fact quickly tried get counter gate spins,1
feel rather satisfied inch cock always thought myth chinese guys small cocks true,1
remember abuse suffered age made feel damaged no good,0
feeling really thankful,1
feel like special edition title twang love feel like special edition,1
feel melancholy tugging heart,0
feel victimized even no need,0
marieluv makin horny,1
feel better happier grounded heart also reminding need feel guilty time,1
eatthecakenyc know mad late sorry laughing loud thanks ff love,1
feel like cinderella except without prince charming part consider ugly stepsisters annoying biological brothers case,1
drank night left lisbon feeling festive,1
feel sympathy jonas one atone many ask release well left helpless see not bring peace sadness,1
really feel like christmas would fine not set tree others family opposed idea,1
awsome know know know,1
sitting wheel chair move laundry chair not terribly maneuverable due confines small laundry area least feels fairly safe even still quite struggle,1
charmed number former classmates married high school sweethearts simultaneously feeling relieved not,1
feel honoured great man claims friend,1
distinct urge kill homesickness not even sure fair call feeling homesick roll something americans better anyone else binging,0
tried hiding true feelings however always hated last one know going,0
feel resentment toward attackers even feel anger parents sexually abused girl,0
also get feel proud weight loss completed months time lost around kg approx pounds,1
feel quite much depressed not heavily,0
feel like shortchanged friends not trusting enough support love know hope,1
much enthusiasm energy simply feel joyful big improvement daily gloom depression often faced past,1
feeling pretty groggy cramping,0
feel amazing albeit slightly bigger couple months ago,1
feel repressed insecure worried,0
wished best truly feel though sincere,1
feeling immensely guilty,0
feel like supporting send cheque rs,1
feel pained wanted get top make proud achievements,0
feel lethargic not really look forward anything take joy anything kind felt like last night,0
feel pretty exhausted physically emotionally quite rough summer,0
started feeling little surges water convinced either serious bladder problems tear amniotic sack,1
made feeling really shitty,0
back way feeling gloomy,0
feeling satisfied not depriving certain foods,1
make feel even uglier dumber unimportant,0
share friend feeling hopeless faithless days answer always way,0
also feel reasonably virtuous,1
feel like shimmer fan feels way nicole certainly talented not second coming kurt angle,1
still promise mama bread made feel virtuous since managed add not zucchini also carrots used white wheat flour via trader joes cut sugar back cup,1
forget fact feel convinced find feeling,1
lay bed looking bedroom long make feel peaceful,1
feel like punished starting break cold sweat,0
know without question would definitely not feeling way leaving sweet babe still recent school prior,1
stare flames help feel thankful,1
hours sleep mild hangover carelessness loss brand new ipod pouch,0
feeling little stressed lately quite therapeutic experience different way spend sunday morning,0
would excitedly count feeling dignified completed task,1
feel feel contented happiness despite horrible unhappiness,1
feel like lost option stay found tell lest find less ideal way,0
feel ecstatic day love staying home raising children,1
feel little stronger little sure little confident little clear vision life god,1
honestly love working watercolour much inspire others enjoy fantastic feeling thrilled,1
also strong desire regain not place person reexperience feelings aching longing hints world far away possible return,0
feel happy see smile every time sad see,1
feeling flirty carefree hes actually quite cute like let us go karaoke,1
walk around gloomy feel gloomy,0
used people disappoint feeling heartbroken things changing,0
not blogged well week feel empty,0
love smell petrol gas feel energetic fill tank petrol station,1
angry making feel disappointed,0
feel really terrible,0
feel cute picture,1
feel honoured loved,1
feel like one insight divine intervention knowing heck going,1
feel important teach cook young age,1
dry meals different orders no sauces dash paper feeling adventurous,1
kimmygotsoul aw damn ok got tuesday got write short post today though,0
slept little better little earlier feel keen exercise,1
encourage feeling beaten lift words reassurance,0
choose feel happy small way may brought one morning hope little worlds,1
not feeling well cancel plans join larger family gathering,1
feel oh clever,1
fifteen drinking age changed seventeen nineteen sat bar called reds filling station playing two sets english beat rem covers sipping complimentary drinks feeling smug laughing face new law,1
know made mistake today bhanu know another man wife truly not regret making feel miserable,0
personally feel blackboard superior yammer file organisation ability clearly defined sections related particular course separated social interference,1
sad leave persons intense relationship also leave environment part,0
want feel playful open vulnerable great time,1
would feel ashamed made feel ashamed diminish somebody way worst form denial human potential,0
feel process bringing emotional energies need expressed healed released well coming greater awareness innate intuitive emotional natures,0
feel like kind bitchy alot people whatever,0
feeling strong desire get rid husband thought cannot feel good talk share done wrong lousy husband,1
sitting coughing hacking feeling generally lousy,0
feeling quite pleased showed carol mathews psychiatrist university california san francisco,1
feel hated ones love,0
bloated feeling though not necessarily feel happy sad,1
still want nap day ill still feel crappy dizzy midday,0
experienced feeling water broke claudia,0
feeling little discouraged started talking gods work life also wants hang americans soon,0
totally got hit one bar guests ha ha yay,1
feel terrible eat things regular flour,0
fat frumpy fit healthy healthy frumpy strong faith expended faith bold encouraging quiet feeling defeated,0
incredibly grateful everyone coming work something fellow tattooer going way get something makes feel honored,1
feeling pretty freaked tour,1
slowly getting putting ebay listings cleaning room day day rate going accomplished null time semester two starts feel empty knowing could finished dream bedroom,0
eileenleft disappointed lad think unfollowed ryking not showing love,0
sleeping better feel energetic mornings getting used find not miss carbs really,1
feel like completely missed,0
tried outfit outfit not feel satisfied everything seemed accentuate stubborn lhf low hanging fat,1
left appointment feeling ok not thinking anything going happen time soon,1
make feel welcomed,1
feel really wonderful,1
could not help feel little homesick,0
even begin feel joyful,1
started shopping online realized feel deprived,0
feel album not portray emotions weightily rather slightly humorous perspective,1
always feel little sentimental last years journey,0
feel aching hunger inconvenience thought,0
feeling heartbroken angry disappointed,0
dilemma involved elizabeth siddall feeling strong attraction jane,1
hope able feel sympathy not sympathy least emotional response three main characters struggles face,0
feel option women spark no intrest lack intelligent conversations,1
tips stop feeling drained time,0
feeling quietly smug regarding diploma,1
feeling playful little experience maiden voyage,1
love simply greens add space makes everything feel bit festive,1
try partake festivities joy feel jesus welcomed jerusalem part remains sad know ends,1
feel terrific hardly wait completely detoxed,1
told no girls allowed goes mindset making sure kids see no difference girl boy friends everyone play fairly together important never feel thiugh one gender superior ovee,1
really enjoy getting house feeling like productive member society getting interact adults meantime,1
instead not feeling innocent made mistake dued imprudence thoughtlessness simply win,1
start feeling something resembling really unpleasant pain automatically want make lj entry complaining,0
support return make call someone not well grace god also feel energy supporting helping help others,1
get thrilled feeling chest pleasant excitement piercing every part body really explain,1
feel sweet red leaves,1
hate lied makes feel not valuable person one lying,1
amos beautiful job retrofitting cohens song really basic arrangement piano work feels like artistic effort merely paying homage,1
cannot wait become woman eagerly set transforming although time put first bit make face breath catches get minutes nervous shakes feel bit weepy,0
feeling lost scared,0
healthy fit feel peaceful ever felt,1
lost pounds inches waist feel terrific,1
feel outgoing like stuff,1
lots energy newly found appetite feel much less weepy,0
feel less proud whole scenario,1
feel ok quite like sounds quite spacey Laughing Out Loud amazing right,1
feel like punished criminal,0
new orleans returned la feeling relaxed confident saying good evening madam allright,1
able contribute happiness others way feel ecstatic,1
feel much energetic know,1
edge yesterday feeling alone,0
feeling heart make list things thankful,1
feel blessed whenever someone reads work enjoys,1
sometimes feel like people think totally perfect seem view hawaii absolute paradise life hawaii not necessarily paradise time,1
feel hopeless helpless stop one single spec world filled countless lives seem lost,0
still like floral prints cannot floaty frilly fussy girlier manly id feel delighted saw lovely retro floral dress charity shop months ago last thing actually bought bad fashion blogger,1
not sure one feels way definitely intelligent highschoo probably due fact always deeply entrenched extracurricular activities like debate model un even spelling team writing kickass ap essays,1
vampire knight music feel special,1
feeling like vacation given time recharge energize eager return order pursue job interviews works spend time seeing friends,1
feel dumb easily fall,0
like jack canfield feel amused relieved listen,1
feel sad ways though not monologues videos completely neglected soundcloud,0
feel helpless knowing things next couple weeks could home helping,0
want children feel safe happy going park getting independence without worry juveniles,1
hid cry bathroom work like sometimes failed make feel sort release determined would boyfriend help colonic got home least metaphorically able clean shit system,1
feel free participate dare upon challenge,1
feel like belong want make effort accept many ways valued accepted life,1
feel happy able conversations family,1
feel not optimistic person best times already not great feeling something hard talk feeling despondent,1
not really mood lecture weight much pain feeling lousy thought hell,0
feeling somewhat lethargic whole idea,0
one weekends alternated back forth feelings oh gosh child amazing wonderful thing ever happened one moment ever want kids next minute,1
feeling days troubled minds useless let remain status quo eventually,0
would not warring feeling like ungrateful little witch time trying reconcile feeling frogmarched hideous disco beat get no say,0
know lot say everything feel useful speaking mind passions things know lot think time choose talk tv candy,1
listen feel helpless,0
get hit feel horrible want mind heart,0
never want forget feeling sweet baby boy sweet kisses,1
throwing away advice oddly not feel regretful guilty like usually,0
chocolovere feel way every day,0
cannot resist feeling anymore thank making perfect days thank creating liter tears eyes thank much,1
practically live bathroom looking forward part calming body adjusts already starting feel bit energetic,1
tomboytigress thanks sweet dreams,1
able start job january six months usually enough time finish training figure bathrooms feel something idiotic clueless new guy,0
jujubean laughing loud yea thinkin birthday bash everybodys lame wants sit house instead qo wit laughing loud,1
flickr pics chester zoo danwtmoon posted photo quot welcome quot chester zoo jockey,1
feeling discouraged end rope,0
feel pathetically helpless frozen wondering government,0
feel much reassured badger cub not affected going give go,1
know feels hurt consuming grief,0
feel layout gives rich color vibes warm feel,1
feel like everything boring negative,0
feel cool vibram fivefingers shoes youe best archetype aisle agent accomplished year href http coachoutletstoreonlinekey,1
feel well placed able explain best friends family,1
spend much time worrying think feel not even important enough deserve second thought,1
much right sometimes shake head feel discontent,0
really feel listless burned,0
feel extremely privileged chance interact personal level,1
feel acceptable long money make community evolve,1
moved portland not feeling lonely though avoiding part check bank account balance freak not job,0
know feels like think us not feel determined,1
mend feel lucky first infection jolly well hope not,1
feeling not freeze well separate gave try,1
avoid everything october early bad feel like not get strong reminders good landons babyhood good p,1
first read actually feeling thankful,1
feel arms tighten around giggles softly charming infectious little giggle,1
feeling bit less friendly towards bod worked way forward,1
taking horse pills hoping get sleep tonight,0
feel something tragic happen life right probably could care less,0
mexecution right great plant love,1
experienced healing crisis involved lot sleeping feeling cusp flu bit weepy,0
proud team feel blessed many people care us much,1
cannot sleep sucks one day sleep get go shopping mom ugh,0
feel like missed part story,0
feel worthless christ became sin behalf might become righteousness god corinthians,0
well interesting attempt commute work not exactly plan end though great,1
waiting amp cramps,1
feeling going exactly elegant type excel hunter ring thoroughbred become popular,1
feel section vital making imechanica indispensible researchers,1
feel recharged self assured confident newly ready focus take constructive challenges,1
ill feel invigorated,1
feel vital show facial expressions also shown us long shots show us vast quantity people supporting president,1
feeling splendid,1
feel ecstatic workout anything like,1
feel like performed valuable public service,1
feel like disheartened little kid right,0
feel lucky without knowing lucky,1
began feel day already rather pleasant nothing could make worse,1
usually tell feels given day though often not assume ok looks ok unbeknownst might wringing inside,1
feel sad hopeless,0
feel heartbroken cannot believe things thinking god claimed strongly everything could defend understand,0
feeling going majorly popular series,1
loathe writing book reviews know painful feels get shitty one also understanding much effort goes book project,0
feel troubled conflict mind heart,0
get percentage purchases websites affiliates section feel free go buy stuff,1
feeling morose sorry,0
may starting new band name straight feel like confessing beloved friends well saying sorry worrying ayabie addiction recently,1
tried fill befriending people knew using not care needed feel accepted even complete loser,1
need feel respected want spend life sharing not hurts desires needs well,1
not know heavy rain sky gray feel mellow feel whole world going slow motion,1
would feel like punished,0
feel vastly pleased,1
signed careful hand show worth feeling inhibited,0
could go feeling deeply doom cannot see way feeling thrilled ready believe lasting forever,1
never really thought id feel way since thrilled whatever become since not care anybody whatever could go wrong,1
feel superior use terms nobody else understands,1
feeling thankful fam,1
sinking feeling reputation ebay seller credibility ipad listing may damaged naivet may sabotaged auction,0
flyaarmy aduvall flyingphotog foxwhisperer brief interruption right back goodnight not catch later got ck something,0
honestly would like feel respected others,1
careful not overeat always thanksgiving dinner pm feeling strong like able survive day without much damage diet,1
karaoke small town bar wonderful time,1
blogging sake occupying time space see feeling photoshop problem thingy not leaving precious lives alone,1
started learn needed live joyfully without waiting feel joyful revolutionized life,1
reminded close friends people un list living less dollar day respect people feel generously hosted never feeling superior pity luckier,1
want see actually going need end march meet insurance goal plus feel really terrific,1
thought going write something today not really feeling clever right,1
feeling quite terrible today,0
feel like alexa chung someone else uber cool like photos,1
feeling festive created card,1
feel like need time reassured something,1
feel inspired write need,1
ill feel like terrible person actually really dislike people,0
also noticed decreased desire run often feel disheartened either beginning halfway runs screams overtraining,0
possibly feel though terribly neglectful blog lately vow set things right week,0
feel like fucking unwelcome store question,0
hate feeling beaten,0
feeling depressed condition wonder long live like quickly think kids doubt melts away,0
feel like not believe tell abused youngest child,0
stranger expectations vanished feel humiliated,0
understand feel disturbed,0
getting sick cough cough,0
feel like world horrible place get back look back self think dammit hell wrong dumb ass,0
feel almost overwhelmingly passionate sometimes talk people birth especially folks really educated concept natural birth,1
kept beating stuff feeling really shitty around,0
feeling quite pleased staying alive weather,1
lizscherer cheer buttercup rain go away hearts always mend actually bet,1
woke feeling pretty lousy sick,0
like nice clothes like feel like look acceptable recovery clothes crucial,1
feeling like lousy friend lately,0
no idea stands feel intelligent say macro function joker da bomb,1
feel like something unpleasant needs dealt try speak carefully point,0
still need find way feels relaxed rather not forced sales,1
also felt feel guilty not able handle visitors much wanted,0
feel sorry sad bad,0
lived three years feel homesick often place,0
feel like tragic love story,0
despondent feeling doubly shitty,0
smoke not happy best friend brother broke somehow feel heartbroken oven blew hey,0
feel like fake liar god damn time,0
not care way big feel like pretty steampunk princess,1
feeling numb cried sometimes,0
adjusting new mom role thinking many days seem repetitive run together not intentional time end day week feeling not quite satisfied happy know could,1
feel tad embarrassed also interesting see carved mouths collapse inward,0
usually give amount time not feel ignored,0
feel little awkward keep questioning saying yet get everyone amped immediately think go respect,0
felt sad boyfriend wanted break relationship relationship lasted two years,0
feel privileged witnessed miraculous events,1
sure anxiety feel wonderfully rich time opportunity possibility,1
feeling like thank find need kind words someone else suffering way send words good thoughts send money way,0
really feeling idea rich dark green navy brown warmer copper mixed alterative orange kind look,1
feel sort assaulted unwanted salesmen women religious organizations show,0
still feel sleep deprived though,0
kept running time not getting agenda items felt place people talking one another left every meeting feeling disappointed dissatisfied,0
found abandoned house since no one around feeling brave decided take closer look kitchen h,1
sad not seeing basshunter metroplex weekend,0
feel though ungrateful bitchy negative,0
feeling decidedly listless,0
feeling genuinely humiliated,0
feel less like fake,0
live life feeling another boring girl best worst like deserve eyes ripping skull stamping body mutilated burned puked spat pissed go back time baby,0
feel respected equal marriage said,1
id noticed moods going phases one point prior asking referral laurels feeling really depressed suicidal least month,0
exams worst mahn go,0
feel like part atmosphere one benign useless gases nothing needs no one breathes exist negligible quantities,1
feel loofahs definitely know feel sextastic womens special happy places,1
like scrubs rough feels like really getting dirty grim oily skin,0
think would impossible feel gloomy not smile see,0
love feeling peace joy brings soul today super hard,1
not feeling well not mean wait day husband take bathroom break,1
took leave absence substitute little ones school feel like enough energy stamina safe children,1
not know would feel lot know weeks experience back summer sydney glad shared northern winter,1
got stung bee,0
feeling isolated lately bugging,0
would opt theatrical version every time addition feels messy liking,0
stupid accidentally gave honey atomic flavored buffalo wings stomach feels awful sorry baby,0
id lying said not many days feel hopeless nothing else,0
feel like makes stupid person cannot like everyone else,0
feel little lost frankly,0
never felt us suddenly feeling brave not know got feel way dance real slow,1
always come back later work complete leaves feeling discouraged helps no one,0
not feel like making difference point career resigned position end year,0
found absorbing situation found busy found million miles away initial sentiment feeling vital record anyway,1
go school nurse knows well since times always asks feeling sweet measured heights weights,1
feeling rotten even wondered maybe kidney infection never got fever symptoms,0
feeling brave confident not come last,1
feeling pretty dull blah,0
feeling playful inspired,1
used feel like cute pregnant lady,1
realize words cannot express depth feel no amount clever metaphor could even come close,1
shiver feeling nights cool air first time,1
feel stupid without planner,0
beginning feel lethargic blood loss,0
actually checked flights paris feeling overwhelming urge get away roam gorgeous streets favorite city,1
received blanket absolutely amazed fluffy extremely soft really not think going feel amazing,1
feel happy alone ness,1
still newbie runner aspects starting actually feel convinced not physically make,1
speak feels stronger graceful,1
look state affairs country andhra pradesh feel terribly dismayed depressed,0
feel pretty intelligent person issue setting page,1
feel glad alive mortality real right div style clearboth padding bottom,1
cannot go back feeling humiliated presence,0
lots people polite though ask approach,1
feel troubled leaving teena abigail really cool therefore title torn apart,0
leaving florida want live forever texan girl,1
getting illness feeling well,1
usually go day day feeling absolutely lethargic,0
think hes talented feel like criticize guy working marvel showed really crappy stuff id probably say oh fine point criticizing,0
also feeling keen sting lazy summer lost,1
feel stupid buy much shit lately,0
two indestructible bikinis laperla aquasuit many years ago lately feeling rather disappointed see stores,0
feel honored worked alongside remarkable team f w photoshoot,1
started feel tickle throat aching joints figured nights nyquil enough get back form not real deal,0
feeling gracious right well excited fun times lay ahead time wisconsin,1
love feel unloved,0
sittin home hellllllllsssssss yeah got girrrrrl boysssss amp mangy cats good time life goodnight twitter,1
feel troubled ongoing relocation front door,0
feel like since started figuring cute sexiness also started visually judge people certain standards sometimes creepy unfair,1
pulled something back hardly turn neck making feel weepy grumpy,0
feel come long slog stress agitation melancholy hopelessness worry fear general darkness pushed way shadows tangles come sunlight blue skies,0
not leave feeling satisfied not think necessarily dr,1
feeling particularly gloomy angstful,0
remember baby absent school cos not feeling well day,1
could not face blog feeling emotionally exhausted back july,0
feel like much talented smart love meeting new people,1
feeling embarrassed going envision girls,0
know never ending ongoing process today feeling happy,1
learning try feel accepted worth friendships going make,1
imlostinbooks vasilly devourerofbooks sorry,0
feel like damaged anything though worked really hard,0
feel like never could forget moments want make sure zola,1
together feel like broke us able singles competitor,0
received wonder eye cream really lovely light cream used around eye area either bed make prefer use eye creams bed feel need quite generous work magic overnight,1
xchristineannx aww sorry boys sick keep fingers crossed no tails laughing loud stay well youself get better boys,0
biking janas visit feeling lonely friends work,0
know not actual reason feeling unhappy,0
felt really couple days left feeling lonely missing family describe,0
hope see gos fluff probably put food case anyone feeling bit adventurous today,1
could lose farming hours amass countless digital treasures could lord people message boards effort feel superior,1
remained determined not fall crisis hurt feeling must not trigger emotional overreaction outward signs irrationality would strengthen hand insightful opponent,0
not feel like joining splendid rendition street pizza,1
actually feeling little boring mom,0
feel useless shocking hurt pain speechless etc,0
not feel like destroying deadlifts glad,1
feel starting quite like guy not friendly no longer suspect capable murder way,1
got really lost still feel awful,0
feel nothing excitement sincere readiness,1
feeling pretty smart driving around streets town new tire,1
feel everyone fake,0
job makes feel beaten want try remember one part life not life,0
